Rank;Global Rank;Institution;Country;Sector;Best Country Quartile
1;4;Harvard University *;USA;Universities;1
2;8;Harvard Medical School;USA;Universities;1
3;14;Stanford University *;USA;Universities;1
4;18;Massachusetts Institute of Technology *;USA;Universities;1
5;23;Johns Hopkins University *;USA;Universities;1
6;26;University of Michigan, Ann Arbor *;USA;Universities;1
7;31;University of Washington *;USA;Universities;1
8;32;University of Pennsylvania *;USA;Universities;1
9;36;University of California, Los Angeles *;USA;Universities;1
10;37;Cornell University *;USA;Universities;1
11;40;University of California, San Diego *;USA;Universities;1
11;40;Columbia University *;USA;Universities;1
12;42;University of California, Berkeley *;USA;Universities;1
13;46;Yale University *;USA;Universities;1
14;50;University of California, San Francisco *;USA;Universities;1
15;53;University of Chicago *;USA;Universities;1
16;56;Duke University *;USA;Universities;1
17;60;Northwestern University, Evanston *;USA;Universities;1
18;63;University of Wisconsin, Madison *;USA;Universities;1
19;65;University of North Carolina, Chapel Hill *;USA;Universities;1
20;69;University of Minnesota, Twin Cities *;USA;Universities;1
21;71;New York University *;USA;Universities;1
22;73;Ohio State University, Columbus *;USA;Universities;1
23;80;University of Illinois at Urbana-Champaign *;USA;Universities;1
24;86;University of Pittsburgh *;USA;Universities;1
25;97;University of California, Davis *;USA;Universities;1
26;101;Pennsylvania State University *;USA;Universities;1
27;103;University of Florida *;USA;Universities;1
28;106;Washington University in Saint Louis *;USA;Universities;1
29;107;University of Texas, Austin;USA;Universities;1
30;108;University of Southern California *;USA;Universities;1
31;122;University of Maryland, Baltimore;USA;Universities;1
32;126;Emory University *;USA;Universities;1
33;129;Vanderbilt University *;USA;Universities;1
34;132;Carnegie Mellon University *;USA;Universities;1
35;135;Purdue University;USA;Universities;1
36;144;Georgia Institute of Technology *;USA;Universities;1
37;150;Rutgers, The State University of New Jersey;USA;Universities;1
38;151;Harvard-MIT Division of Health Sciences and Tecnology;USA;Universities;1
39;155;Michigan State University;USA;Universities;1
40;157;Boston University *;USA;Universities;1
41;159;California Institute of Technology *;USA;Universities;1
42;160;Weill Cornell Medicine;USA;Universities;1
43;176;Princeton University;USA;Universities;1
44;178;Toyota Technological Institute at Chicago;USA;Universities;1
45;181;University of California, Irvine *;USA;Universities;1
46;184;University of Utah *;USA;Universities;1
47;187;Icahn School of Medicine at Mount Sinai;USA;Universities;1
48;188;Arizona State University;USA;Universities;1
49;197;Texas A&M University, College Station *;USA;Universities;1
50;205;University of Colorado, Denver *;USA;Universities;1
51;207;University of Arizona *;USA;Universities;1
52;220;University of Virginia *;USA;Universities;1
53;230;Baylor College of Medicine;USA;Universities;1
54;243;University of Texas Southwestern Medical Center ;USA;Universities;1
55;246;University of Colorado, Boulder *;USA;Universities;1
55;246;University of Iowa *;USA;Universities;1
56;247;North Carolina State University;USA;Universities;1
57;252;Indiana University-Bloomington;USA;Universities;1
58;257;University of Colorado, Anschutz Medical Campus;USA;Universities;1
59;259;Case Western Reserve University;USA;Universities;1
60;262;University of Alabama, Birmingham *;USA;Universities;1
61;268;Brown University;USA;Universities;1
62;272;University of Illinois, Chicago *;USA;Universities;1
63;274;The Rockefeller University *;USA;Universities;1
64;277;University of California, Santa Barbara;USA;Universities;1
65;279;Virginia Polytechnic Institute and State University;USA;Universities;1
66;285;University of Rochester *;USA;Universities;1
67;294;University of Miami *;USA;Universities;1
68;298;Oregon Health & Science University *;USA;Universities;1
69;305;University of Maryland, College Park *;USA;Universities;1
70;314;University of Georgia;USA;Universities;1
71;320;Temple University *;USA;Universities;1
72;324;University of Cincinnati *;USA;Universities;1
73;325;University of Pittsburgh Health Sciences;USA;Universities;1
74;329;Iowa State University;USA;Universities;1
75;332;University of Massachusetts Medical School;USA;Universities;1
76;333;Indiana University-Purdue University Indianapolis;USA;Universities;1
77;334;University of Massachusetts, Amherst;USA;Universities;1
78;340;University of Connecticut, Storrs *;USA;Universities;1
79;346;Wayne State University;USA;Universities;1
80;348;University of Kansas *;USA;Universities;1
81;350;State University of New York, Buffalo;USA;Universities;1
82;354;Rice University;USA;Universities;1
83;355;State University of New York, Stony Brook *;USA;Universities;1
84;357;University of California, Riverside;USA;Universities;1
85;358;University of Tennessee, Knoxville *;USA;Universities;1
86;360;University of Kentucky *;USA;Universities;1
87;361;University of Nebraska, Lincoln;USA;Universities;1
88;363;Dartmouth College *;USA;Universities;1
89;364;Tufts University;USA;Universities;1
90;366;Northeastern University, USA;USA;Universities;1
90;366;University of South Florida System *;USA;Universities;1
91;367;Colorado State University, Fort Collins *;USA;Universities;1
92;376;City University of New York *;USA;Universities;1
93;378;George Washington University *;USA;Universities;1
94;382;Albert Einstein College of Medicine;USA;Universities;1
95;383;University of South Florida;USA;Universities;1
96;391;Virginia Commonwealth University *;USA;Universities;1
